station,lat_mean,lon_mean
1,25.644615,-80.12396
2,25.64176344,-80.10374839
3,25.64373485,-80.08342727
4,25.10802292,-80.37852292
5,25.09392292,-80.35542708
5.5,25.07905306,-80.33311633
6,25.06453774,-80.31464906
6.5,25.04895273,-80.28805636
6.75,24.99480057,-80.22969818
7,24.81708507,-80.75494627
8,24.79228197,-80.74190984
9,24.7628208,-80.7231488
9.5,24.71678636,-80.68976104
9.6,24.6634,-80.6576
9.7,24.583,-80.6103
9.8,24.4665,-80.526
10,24.78678732,-80.86142254
11,24.75316271,-80.84670678
12,24.71375431,-80.83189224
13,24.70078983,-81.02963898
14,24.67535763,-81.02359322
15,24.64362951,-81.01635082
15.5,24.59253016,-80.99191905
16,24.67052299,-81.19911839
17,24.63528065,-81.19367419
18,24.59667869,-81.1830623
19,24.60831,-81.42096333
20,24.57189333,-81.41866333
21.25,24.4753,-81.3997
21.5,24.48321714,-81.39138143
22,24.45512188,-81.82856719
22.5,24.39771356,-81.82719322
22.5A,24.33469963,-81.83129883
23,24.48659836,-81.82811967
24,24.53640769,-81.82804923
25,24.39319992,-82.76830292
25.5,24.28680038,-82.76570129
26,24.49379921,-82.77079773
27,24.58979988,-82.76930237
28,24.72820091,-82.74729919
28.5,24.90119934,-82.61650085
29,25.0632,-82.47799683
29.5,25.22750092,-82.34970093
30,25.40177059,-82.20985546
30.5,25.57168448,-82.07502931
31,25.74167257,-81.94319646
32,25.87262581,-81.83313226
33,25.91135351,-81.80025965
34,25.94938852,-81.76791639
39,25.78040769,-81.48460962
40,25.75885357,-81.52372143
41,25.73318267,-81.57485867
42,25.65546667,-81.71811333
44,25.58279991,-81.66470337
45,25.58330521,-81.47096667
46,25.583255,-81.408815
47,25.58320685,-81.3672589
48,25.58307458,-81.33112542
49,25.58286271,-81.29558136
49.5,25.45330048,-81.58450317
50,25.45394655,-81.34919655
51,25.45324459,-81.30816892
52,25.45323103,-81.26125
53,25.45273091,-81.22924182
54,25.34234658,-81.15480822
55,25.35001067,-81.19914933
56,25.35000769,-81.22755128
57,25.35147952,-81.26496988
57.1,25.37589537,-81.35678889
57.2,25.35145691,-81.48893252
57.3,25.35138864,-81.65330682
58,25.16662039,-81.65334757
59,25.1665629,-81.48686613
60,25.16663077,-81.33611099
61,25.16664167,-81.275475
62,25.16674167,-81.24281167
63,25.16660345,-81.20077241
64,25.16576538,-81.16013654
65,25.09761818,-81.09596364
66,25.06800714,-81.10886607
67,25.03009825,-81.12678772
68,24.93034262,-81.16691148
69,24.93003043,-81.09469565
70,24.92981522,-81.03126522
71,24.9306,-80.9696
21LK,24.53688203,-81.41395313
AC1,28.2402,-82.8976
AC2,28.238,-82.9536
AC3,28.2387,-83.0638
AC4,28.2392,-83.231
AC5,28.2437,-83.3956
AC6,28.2384,-83.5726
AMI1,27.49654643,-82.75100357
AMI2,27.4587377,-82.84470328
AMI3,27.42052258,-82.9389
AMI4,27.38195085,-83.03259322
AMI5,27.34249,-83.12745833
AMI6,27.30493,-83.22182667
AMI7,27.26555645,-83.31629677
AMI8,27.22804516,-83.4099871
AMI9,27.18911746,-83.50345714
BG1,26.71244364,-82.25936909
BG10,26.3591,-83.5071
BG11,26.3175,-83.6534
BG12,26.2722,-83.8078
BG13,26.22785385,-83.96155385
BG14,26.1826,-84.1152
BG15,26.13703846,-84.26171538
BG16,26.0932,-84.419
BG17,26.04686,-84.573
BG18,26.0126,-84.7191
BG2,26.68841343,-82.33988657
BG20,25.9327,-85.02185714
BG3,26.66848116,-82.41697391
BG4,26.63016197,-82.55652254
BG6,26.54405161,-82.86943226
BG7,26.49448421,-83.03685
BG8,26.4498,-83.192
BG9,26.4062,-83.3453
BK1,24.7477,-81.9474
BLOOM,24.35479927,-82.2457962
CH1,26.71680069,-82.24970245
CH2,26.66150093,-82.33029938
CH3,26.55369949,-82.46669769
CH4,26.47069931,-82.61820221
CH5,26.38299942,-82.76779938
DT1,24.69169998,-82.91770172
DT10,24.54920006,-82.97270203
DT11,24.61849976,-82.91130066
DT2,24.69199944,-83.0503006
DT3,24.69099998,-83.18599701
DT4,24.69370079,-83.3144989
DT5,24.56080055,-83.30519867
DT6,24.43219948,-83.23249817
DT7,24.29800034,-83.19080353
DT8,24.3817997,-83.11370087
DT9,24.46780014,-83.04370117
CAL1,26.418148,-81.96003
CAL2,26.38330263,-82.00028289
CAL3,26.34158158,-82.0442
CAL4,26.25367662,-82.13838182
CAL5,26.18330519,-82.21632468
CAL6,25.94014412,-82.48081618
CAL7,26.1575,-82.0542
CAL8,26.0623,-82.045
CALA,26.3263,-82.4846
Caseyhole,26.4837,-82.7369
CK1,25.7393,-81.773
CK2,25.6496,-82.0151
CW1,28.01004333,-82.84979667
CW2,28.016915,-82.89157
CW3,28.0101,-82.96043111
CW4,28.01169,-83.07929
CW5,28.01174483,-83.23577586
CW6,28.01204074,-83.39604815
CW7,28.012032,-83.568804
EB1,26.9232,-82.3843
EB2,26.9238,-82.5417
EH07,27.4864,-83.4177
EH08,27.326,-83.3587
EKIN,25.33379474,-80.22306491
EKMID,25.31418983,-80.19477288
EKOFF,25.29513898,-80.16413898
Glider,27.0765,-83.30215
GP1,26.804075,-82.29815
GP1.5,26.7853,-82.3048
GP2,26.77615,-82.3531
GP3,26.741125,-82.422325
GP4,26.66745,-82.55865
GP5,26.59563571,-82.69553095
GS,25.7835,-82.7378
HB1,28.5446,-82.891
HB2,28.5815,-82.9938
HB3,28.628,-83.1546
HB4,28.6862,-83.3097
HB5,28.7352,-83.4676
HB6,28.7841,-83.6234
Junkpile,26.4894,-82.3431
KW1,24.654588,-81.90419067
KW2,24.7277411,-81.91659726
KW3,24.82219474,-81.95730263
KW4,25.01125205,-82.04361096
L1,27.30188889,-82.59437778
L3,27.2212,-82.77433889
L5,27.13536667,-82.95385556
L7,27.05596667,-83.13505556
L9,26.97085238,-83.31413333
M01,25.2288,-82.1383
M02,25.1229,-82.1
M03,25.04,-82.0652
M04,24.9394,-82.0223
M05,24.8353,-81.9789
MR,25.0062288,-80.3741392
MR1,24.14299965,-81.78399658
MR2,23.66600037,-81.77030182
MR3,24.07320023,-82.43869781
MR4,24.61770058,-81.11000061
MR5,24.50219917,-81.0632019
MR6,24.34350014,-80.99629974
MR7,24.91150093,-80.06770325
Mudhole,26.2448,-82.0118
NaplesBlueHole,25.8428,-82.1519
PLUME,24.9381,-80.204
RedTide,25.8616,-82.09093333
ROME4,27.65006667,-82.91964
ROME5,27.65035333,-82.83844667
RP1,26.54561053,-82.21585965
RP2,26.55298421,-82.25563947
RP3,26.55118846,-82.33152821
RP4,26.57784557,-82.49810253
TB1,27.80021091,-82.88270545
TB10,27.61775806,-83.489
TB11,27.61795,-83.6787
TB12,27.619,-83.8658
TB13,27.6163,-84.0623
TB2,27.73848971,-82.92770588
TB3,27.67214928,-83.00012174
TB4,27.61739118,-83.13232206
TB5,27.61721642,-83.29926418
TB6,27.84046667,-82.85703333
TB7,27.83865,-82.9429
TB8,27.84325,-83.0269
TB9,27.83846,-83.13436
TBA,27.6779,-82.8693
TBB,27.6053,-82.8689
TBC,27.5288,-82.8581
UKIN,24.93501724,-80.56561724
UKMID,24.91975,-80.54654483
UKOFF,24.89836102,-80.52959322
V1,27.10950462,-82.47993077
V10,26.6237,-83.2445
V11,26.519,-83.41
V2,27.07185286,-82.54667143
V3,27.03336324,-82.61526618
V4,26.99414225,-82.68373099
V5,26.95481642,-82.75214328
V6,26.9165831,-82.82079296
V7,26.877172,-82.88846
V8,26.83136618,-82.95855441
V9,26.73003816,-83.10078289
WS,24.4757746,-81.7160627
Z03027,25.1061,-81.785
Z03076,25.3005,-82.1801
Z03116,25.3775,-81.9113
Z03146,25.5754,-82.0103
Z03198,25.5931,-81.9796
Z04067,26.4169,-82.3957
Z04068,26.4249,-82.3156
Z04093,26.5214,-82.2823
Z04099,26.5834,-82.7386
Z04110,26.6071,-82.4678
Z04610,26.6379,-82.5892
